row_index,speakerid,session,activity,time,word,vowel,register,start_sec,duration_sec,duration_ms,mean_pitch,min_pitch,max_pitch,pitch_range,mean_F1,mean_F2,mean_F3,mean_F4,central_F1,central_F2,central_F3,central_F4,feature_status,feature_error,feature_error_detail,formant_ceiling,audio_file,suspicious_reason
3807,c018,4m,meal,825,biberon,on,IDS,97.14,0.07,74.57,447.3198339932648,444.12186911095046,449.9194171610277,5.797548050077182,452.8960330379584,974.8712961969292,2048.111566006954,3160.2298202481347,454.1647008669901,959.6505424287284,1997.2546915907749,3164.52239981603,success,,,4470.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0825.wav,mean_F2_lt_1000
3808,c018,4m,meal,825,mon,on,IDS,97.27,0.05,47.45,454.4972978724485,451.1679733101041,456.6951855623032,5.5272122521990354,456.3691662039031,946.0593233402328,2237.471379891961,3187.599969071325,456.3691662039031,946.0593233402328,2237.471379891961,3187.599969071325,success,,,4470.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0825.wav,mean_F2_lt_1000
3864,c018,4m,meal,825,concentrer,on,IDS,160.89,0.05,54.1,336.07199588862454,335.3608768308097,336.4824294261188,1.1215525953090832,663.5020595505621,705.3621729066804,1980.4415392378692,3645.187980448198,663.5020595505621,705.3621729066804,1980.4415392378692,3645.187980448198,success,,,4470.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0825.wav,mean_F2_lt_1000
3865,c018,4m,meal,825,concentrer,an,IDS,161.1,0.06,55.74,340.1998656388941,338.3184243517282,341.0164811205088,2.6980567687805888,607.8395752353667,950.6903942579996,3158.358544949107,3679.375122361173,611.6833023895516,959.4445576642725,3184.4340824036926,3669.913529474265,success,,,5040.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0825.wav,mean_F2_lt_1000
3871,c018,4m,meal,825,mon,on,IDS,163.64,0.05,54.77,235.52171029190583,230.4315475953956,239.92797254996972,9.496424954574168,450.8571662172035,867.1801331641443,2122.319023977257,3548.9285754678235,450.8571662172035,867.1801331641443,2122.319023977257,3548.9285754678235,success,,,4470.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0825.wav,mean_F2_lt_1000
3891,c018,4m,meal,825,mon,on,IDS,199.81,0.07,72.22,318.8004667299664,310.8329401439605,327.95629746699683,17.123357323036316,437.2417999986504,705.9731526401686,1695.738356316998,3208.77462712446,458.0063559235072,613.3594609733741,1600.2088310437346,3090.304650180286,success,,,4470.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0825.wav,mean_F2_lt_1000
3901,c018,4m,meal,825,mon,on,IDS,210.23,0.1,96.97,383.7776457411278,370.68595265005325,390.0136353729183,19.327682722865063,398.5441213343853,964.0758504433508,2252.290413767875,3657.232036425185,401.7246225572648,945.7392348101164,2267.63825496514,3849.973188033114,success,,,4470.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0825.wav,mean_F2_lt_1000
3938,c018,4m,meal,825,faut,o,IDS,274.35,0.05,49.51,305.9061987223063,303.9659435575623,307.25413764104496,3.288194083482665,391.4705119156274,611.4298578052606,2663.4425480543678,3495.7454001060387,391.4705119156274,611.4298578052606,2663.4425480543678,3495.7454001060387,success,,,4630.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0825.wav,mean_F2_lt_1000
3961,c018,4m,meal,825,pour,ou,IDS,288.11,0.05,49.93,295.1001040858023,287.1945584769285,301.9464771487435,14.75191867181502,571.6995918638623,591.4092832478859,2797.9339194275503,3696.387758612878,571.6995918638623,591.4092832478859,2797.9339194275503,3696.387758612878,success,,,4720.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0825.wav,mean_F2_lt_1000
3962,c018,4m,meal,825,grandir,an,IDS,288.4,0.08,78.17,285.10135085128627,271.4017746619107,295.0085419072388,23.606767245328115,531.1291867212526,768.2551732420993,2313.6999081504496,3541.193052959994,550.2878972508626,734.6613195419455,2322.092363838727,3514.8529087967754,success,,,5040.0,\\hypatia.uio.no\lh-hf-iln-sociocognitivelab\Research\BabyLearn\french_data_arun\c018_4m_meal_0825.wav,mean_F2_lt_1000
