speakerid,n_tokens,n_success,n_failed,success_rate,failure_rate,mean_duration_ms,mean_pitch,mean_pitch_range,mean_F1,mean_F2,central_F1,central_F2,number_of_missing_files,most_common_feature_error
c037,525,514,11,97.90476190476191,2.0952380952380953,112.28045714285714,244.49989178489002,18.359625436005043,499.4099259018915,1688.515677883626,497.6857901219072,1682.1829451431472,0,pitch_not_detected
c040,785,783,2,99.7452229299363,0.25477707006369427,103.38138853503186,236.4758838274444,19.279169127602472,547.2865704553615,1715.5781456451327,549.762631892116,1712.8012761410978,0,pitch_not_detected
c044,320,319,1,99.6875,0.3125,99.054125,268.6005602218514,17.218676913115285,565.9041252278549,1741.7696526313098,567.9564207833529,1744.775134885358,0,pitch_not_detected
c045,387,384,3,99.2248062015504,0.7751937984496124,91.62697674418604,216.09794351827387,21.199540829785963,433.05199989409886,1862.3926298944862,431.96799485824613,1868.232838371463,0,pitch_not_detected
c052,250,249,1,99.6,0.4,77.72376000000001,213.2261054240303,19.068107780899897,527.6666185607756,1710.5873734400973,531.765220437532,1720.3398791472061,0,pitch_not_detected
c053,876,867,9,98.97260273972603,1.0273972602739725,91.67284246575343,236.59907134602147,23.620341869551428,568.0054130440194,1737.3954471473585,569.9066540490235,1741.6577807589254,0,pitch_not_detected
c054,516,513,3,99.4186046511628,0.5813953488372093,93.01703488372092,265.45503188079516,22.00632463047812,534.5265638799087,1753.1550525046996,538.2548040224846,1750.9451540067726,0,pitch_not_detected
c056,830,826,4,99.51807228915662,0.48192771084337355,102.81103614457832,250.05598433673816,22.63860717807289,583.121494568819,1865.7718754934076,586.9111800027566,1869.654160825857,0,pitch_not_detected
c057,666,665,1,99.84984984984985,0.15015015015015015,88.0752102102102,228.87612097480806,17.922961685906095,513.3561475595766,1799.6174455098203,516.0729880394803,1813.3797302704165,0,pitch_not_detected
c061,455,455,0,100.0,0.0,106.62734065934066,279.77515860298905,24.150091529922054,611.4209141407443,1724.3525496044938,614.085144243671,1714.1291911163173,0,
c062,363,363,0,100.0,0.0,100.97644628099175,272.62538406810233,32.1307460075422,574.5368484361585,1875.7003207125797,576.4380538371233,1885.0563529440103,0,
c065,713,712,1,99.85974754558204,0.1402524544179523,116.73244039270686,317.5948683842097,29.24633494078445,579.030523011986,1856.811249832911,579.9320230133195,1858.5910980597346,0,pitch_not_detected
c067,612,610,2,99.67320261437908,0.32679738562091504,100.3874183006536,288.43192942134783,19.633073092367717,555.6497028678318,1829.3690390494653,555.8263685651915,1833.8360423988524,0,pitch_not_detected
c068,573,572,1,99.82547993019197,0.17452006980802792,105.05253054101223,263.9075819860613,31.749537468128615,526.3341083311008,1829.7653652793836,526.909569023788,1842.2897357219338,0,pitch_not_detected
c069,869,869,0,100.0,0.0,109.22642117376296,277.82984211993517,28.117747630541427,604.0521991221149,1736.398773315286,604.9093614314285,1737.4545465409137,0,
c071,617,611,6,99.02755267423015,0.9724473257698543,86.52721231766613,235.27099308485924,15.33643666974197,507.0189001140197,1927.5355574921675,509.5707907160151,1936.9978929476388,0,pitch_not_detected
c072,502,502,0,100.0,0.0,100.47820717131474,263.60675063575997,21.362563787015308,556.0305306097692,1679.1681179551965,555.0091204347773,1678.2925897043851,0,
c077,398,397,1,99.74874371859298,0.25125628140703515,90.92997487437187,284.48884802970207,25.80423926872847,590.5690078540275,1793.5545588207474,595.728909772322,1799.6682710544592,0,pitch_not_detected
c078,218,218,0,100.0,0.0,106.22743119266056,260.7646537914785,19.522697103306204,536.6722615315979,1748.449569104488,540.7914964457457,1748.0909225970129,0,
c080,324,324,0,100.0,0.0,79.57601851851852,215.0578937376138,12.1235032052361,541.1239043618657,1813.1786710407944,541.7459267685995,1806.1572904518732,0,
c083,518,518,0,100.0,0.0,91.30055984555985,268.74280786818804,22.952859481960733,528.5104618015889,1767.295718174206,526.3612130758603,1766.9861057392789,0,
